id,nome,tipo,saldo_atual,ativo,criado_em,atualizado_em,tenant_id
d222eb67-ac7d-4f39-899b-c53a9a605a8b,Caixa,caixa,0,true,2026-04-29T00:47:37.682722+00:00,2026-05-02T14:20:38.536304+00:00,00000000-0000-0000-0000-000000000001
c1885f83-c32f-4761-a6e3-f3e9ceabc22c,Banco Brasil,banco,0,true,2026-04-29T00:47:37.682722+00:00,2026-05-02T14:20:41.633535+00:00,00000000-0000-0000-0000-000000000001
d4f69e4e-f485-4004-922c-6c9e0bdcf386,Sicoob,banco,0,true,2026-04-29T00:47:37.682722+00:00,2026-05-02T14:20:45.370596+00:00,00000000-0000-0000-0000-000000000001
