id,carga_id,lote_id,setor_id,quantidade_primeira,quantidade_segunda,peso_medio,criado_em,peso_medio_primeira,peso_medio_segunda,deleted_at,preco_kg_primeira,preco_kg_segunda
40ad5cca-f1a9-449b-b9a6-930090f15596,e5308b20-52e4-4c73-ba99-cea94d78e052,bd949267-e338-4023-8fd0-4b1182c622ad,b759c769-d734-466d-92e3-ec0dedfa3348,472,28,,2026-05-16T21:09:47.975557+00:00,14,14,,0.45,0.27
c45a7228-7674-4c06-8c97-5379f5319163,f03ba79c-eb22-4659-b6bf-da692221dda9,0a98539d-0ec8-4925-9fc7-ed4c58892bc9,eee04d7d-42e8-42a4-9d9c-0de6fa1488af,250,38,,2026-05-16T21:10:20.784241+00:00,15,20,,3.3,2
50c29bad-cbb0-4846-a17a-f705525ebba4,f03ba79c-eb22-4659-b6bf-da692221dda9,0a98539d-0ec8-4925-9fc7-ed4c58892bc9,eee04d7d-42e8-42a4-9d9c-0de6fa1488af,4,0,,2026-05-16T21:10:20.784241+00:00,20,0,,3.3,0
1bba5dbb-e4f0-4cf4-af30-dc93a66e6b2f,36d7b070-b625-4e4c-aea8-4a0149718223,6c0c9b13-b01c-4141-ab1c-27ac476bb855,83a77acf-cfc9-4154-a426-1f74e708c14b,440,0,,2026-05-16T21:10:30.091155+00:00,15,0,,2,0
aced66de-d2d3-408f-9888-d2a2b40c2a7b,b25a2748-25f8-4e03-9fe1-f18af0a5bb3f,971dfc6c-466c-4547-96c4-1d2d1dcea78e,cf8eb2e5-1203-41d3-b21d-f1a2ab841cd4,180,25,,2026-05-18T11:05:14.080311+00:00,15,15,,3.6,2.4
7a59c13f-a9b9-4a64-a68e-b76ba855f657,b25a2748-25f8-4e03-9fe1-f18af0a5bb3f,f00023f6-f613-4862-9441-53562ae5acd9,f92465bc-37dd-4d88-9b6f-eed498e9296c,165,30,,2026-05-18T11:05:14.080311+00:00,15,15,,3.6,2.4
ee6932f4-b716-4227-b100-09a426ae99b0,42bf714e-15e7-47e4-89b4-85715ee4fab4,1604277d-28a7-4082-b94b-5982073e1280,6a72574e-babc-466b-b705-dd42822aed9e,145,104,,2026-05-20T17:19:05.105218+00:00,15,15,,3.2,1.9
ace3c052-42d8-4097-af4b-82a3729db9f0,cce3c456-1fdf-4d4e-8a95-4503647f2813,6c0c9b13-b01c-4141-ab1c-27ac476bb855,83a77acf-cfc9-4154-a426-1f74e708c14b,406,0,,2026-05-16T21:06:05.946594+00:00,15,0,,2,0
bfb348eb-5b62-43fd-9aee-23f90acc141d,cce3c456-1fdf-4d4e-8a95-4503647f2813,0a98539d-0ec8-4925-9fc7-ed4c58892bc9,7d3d3829-2805-40fc-bdb2-3110bc68f829,260,0,,2026-05-16T21:06:05.946594+00:00,15,0,,2,0
