id,data,observacoes,criado_em,deleted_at,tenant_id
cce3c456-1fdf-4d4e-8a95-4503647f2813,2026-05-15,carga 15/05 - Ailton,2026-05-16T21:06:05.946594+00:00,,00000000-0000-0000-0000-000000000001
e5308b20-52e4-4c73-ba99-cea94d78e052,2026-05-14,carga 14/05 - Uvale,2026-05-16T20:32:41.516396+00:00,,00000000-0000-0000-0000-000000000001
f03ba79c-eb22-4659-b6bf-da692221dda9,2026-05-13,carga 13/05 - Barriguda,2026-05-16T20:22:53.660278+00:00,,00000000-0000-0000-0000-000000000001
36d7b070-b625-4e4c-aea8-4a0149718223,2026-05-13,carga 13/05 - Ailton,2026-05-16T20:38:35.153975+00:00,,00000000-0000-0000-0000-000000000001
b25a2748-25f8-4e03-9fe1-f18af0a5bb3f,2026-05-07,Carga Brauna 07/05/26,2026-05-18T11:01:44.541867+00:00,,00000000-0000-0000-0000-000000000001
42bf714e-15e7-47e4-89b4-85715ee4fab4,2026-05-20,Carga Ze Manaia 20/05/26,2026-05-20T17:19:05.105218+00:00,,00000000-0000-0000-0000-000000000001
